conjunctival_epithelial_cell	eye_photoreceptor_cell	Muller_cell	retinal_blood_vessel_endothelial_cell	keratocyte	corneal_epithelial_cell	melanocyte
ENSG00000169442	0.035	0.00718132854578097	0.0175438596491228	0.272727272727273	0.013986013986014	0.0697674418604651	0
ENSG00000104894	0.039	0.0359066427289048	0.0175438596491228	0	0.027972027972028	0.0232558139534884	0.0847457627118644
ENSG00000211592	0.135	0.0466786355475763	0.087719298245614	0.0454545454545455	0.0909090909090909	0.0232558139534884	0.0338983050847458
ENSG00000174718	3.925	0.163375224416517	0.157894736842105	0.818181818181818	0.307692307692308	5.76744186046512	0.610169491525424
ENSG00000182551	2.139	0.114901256732496	1.40350877192982	0.636363636363636	2.72727272727273	2.72093023255814	1.74576271186441
ENSG00000175193	0.588	0.457809694793537	0.719298245614035	0.136363636363636	0.321678321678322	0.930232558139535	0.474576271186441
ENSG00000135778	0.527	0.315978456014363	0.649122807017544	0.136363636363636	0.335664335664336	1.02325581395349	0.152542372881356
ENSG00000107341	2	0.303411131059246	1.08771929824561	0.590909090909091	0.79020979020979	4.62790697674419	1.55932203389831
ENSG00000237765	1.242	0.143626570915619	1.21052631578947	0.136363636363636	0.769230769230769	1.58139534883721	0.711864406779661
ENSG00000163001	0.492	1.21184919210054	1.66666666666667	0.409090909090909	0.692307692307692	0.627906976744186	1.1864406779661
ENSG00000110852	7.261	0.0466786355475763	0.12280701754386	2.59090909090909	0.342657342657343	4.86046511627907	0.355932203389831
ENSG00000120690	2.781	0.0700179533213645	0.087719298245614	2.72727272727273	0.706293706293706	5.58139534883721	1.79661016949153
ENSG00000109099	0.15	0.0197486535008977	0.508771929824561	4.86363636363636	4.24475524475525	0.13953488372093	2.3728813559322
ENSG00000185201	1.354	0.0412926391382406	0.543859649122807	5.77272727272727	5.53146853146853	0.0697674418604651	12
ENSG00000101608	11.241	0.518850987432675	1.14035087719298	4.72727272727273	4.78321678321678	14.8604651162791	3.33898305084746
ENSG00000188559	0.31	0.0897666068222621	0.157894736842105	2.04545454545455	0.0769230769230769	0.162790697674419	0.11864406779661
ENSG00000111145	2.068	0.0197486535008977	0.140350877192982	2.63636363636364	0.244755244755245	3.18604651162791	0.559322033898305
ENSG00000105939	1.288	0.0251346499102334	0.140350877192982	3.77272727272727	0.944055944055944	1.32558139534884	0.457627118644068
ENSG00000135048	1.728	0.0700179533213645	0.56140350877193	5.5	0.181818181818182	1	0.745762711864407
ENSG00000185507	0.475	0.0628366247755835	0.0701754385964912	0.545454545454545	0.104895104895105	0.651162790697674	0.203389830508475
ENSG00000159200	0.362	0.0430879712746858	0.228070175438596	3	0.559440559440559	0.27906976744186	0.491525423728814
ENSG00000149273	48.225	8.35188509874327	19.0350877192982	17.5909090909091	16.3006993006993	31.906976744186	20.7118644067797
ENSG00000160691	1.342	0.0646319569120287	0.140350877192982	2.22727272727273	0.440559440559441	0.627906976744186	1.01694915254237
ENSG00000106366	1.138	0.0233393177737881	0.0350877192982456	2.18181818181818	0.167832167832168	0.302325581395349	0.101694915254237
ENSG00000171236	0.5	0.00538599640933573	0	0.727272727272727	0	0.0930232558139535	0.0169491525423729
ENSG00000129925	0.235	0.120287253141831	0.157894736842105	0.0909090909090909	0.174825174825175	0.372093023255814	0.220338983050847
ENSG00000091127	0.27	0.0251346499102334	0	0.181818181818182	0.0769230769230769	0.0930232558139535	0.0847457627118644
ENSG00000023902	0.259	0.0377019748653501	0.157894736842105	1.04545454545455	0.251748251748252	0.0930232558139535	1.47457627118644
ENSG00000004975	0.182	0.111310592459605	0.12280701754386	0	0.20979020979021	0.255813953488372	0.322033898305085
ENSG00000177954	96.113	12.6642728904847	30.8771929824561	25.8636363636364	33.6363636363636	58.3488372093023	42.6440677966102
ENSG00000141002	2.466	0.793536804308797	1.07017543859649	1.36363636363636	1.66433566433566	3.46511627906977	2.66101694915254
ENSG00000008838	0.397	0.179533213644524	0.140350877192982	0.5	0.174825174825175	0.511627906976744	0.220338983050847
ENSG00000115946	1.756	0.804308797127469	0.754385964912281	0.636363636363636	0.202797202797203	0.744186046511628	0.372881355932203
ENSG00000100591	4.697	0.529622980251346	0.912280701754386	2.40909090909091	0.986013986013986	4.18604651162791	3.47457627118644
ENSG00000186468	53.316	9.97845601436266	24.2105263157895	26.6818181818182	23.027972027972	42.3255813953488	29.4067796610169
ENSG00000197006	1.819	0.533213644524237	1.24561403508772	1.22727272727273	0.888111888111888	1.51162790697674	2.89830508474576
ENSG00000243927	4.363	0.287253141831239	0.754385964912281	0.409090909090909	1.03496503496504	2	2.06779661016949
ENSG00000213079	0.488	0.236983842010772	0.385964912280702	0.0909090909090909	0.181818181818182	0.511627906976744	0.305084745762712
ENSG00000185043	3.949	0.292639138240575	1.33333333333333	0.363636363636364	1.14685314685315	4.02325581395349	1.27118644067797
ENSG00000172890	0.498	0.0359066427289048	0.0350877192982456	0.181818181818182	0.132867132867133	1.18604651162791	0.169491525423729
ENSG00000146963	0.653	0.412926391382406	0.491228070175439	0.318181818181818	0.503496503496504	0.953488372093023	0.542372881355932
ENSG00000166200	1.361	0.351885098743268	0.403508771929825	0.681818181818182	0.58041958041958	1.44186046511628	1.10169491525424
ENSG00000144713	68.117	14.0628366247756	33.0350877192982	34.5	25.3916083916084	46.3488372093023	32.2033898305085
ENSG00000198912	0.272	0.138240574506284	0.087719298245614	0.227272727272727	0.216783216783217	0.674418604651163	0.0847457627118644
ENSG00000132323	0.366	0.274685816876122	0.456140350877193	0.0454545454545455	0.244755244755245	0.511627906976744	0.728813559322034
