fibroblast	endothelial_cell	macrophage	myofibroblast_cell
ENSG00000163520	12.233	2.3	0.748	0.246887966804979
ENSG00000167779	28.912	1.124	2.078	7.13900414937759
ENSG00000168079	12.68	0.186	0.567	0.143153526970954
ENSG00000189171	10.565	2.353	0.903	1.36099585062241
ENSG00000189129	9.527	1.655	0.626	4.43360995850622
ENSG00000176046	8.776	1.402	1.673	2.59958506224066
ENSG00000174807	7.23	0.187	0.383	0.452282157676349
ENSG00000170801	5.714	0.245	0.411	0.151452282157676
ENSG00000197747	22.296	11.432	11.177	1.71576763485477
ENSG00000182718	15.745	9.019	8.554	2.85684647302905
ENSG00000144476	8.19	0.36	0.499	0.983402489626556
ENSG00000221869	38.81	20.26	9.998	25.7240663900415
ENSG00000124107	8.166	0.302	0.38	0.267634854771784
ENSG00000035862	10.471	1.772	4.816	1.71784232365145
ENSG00000091986	8.341	0.203	0.334	0.54149377593361
ENSG00000142973	4.315	1.083	0.262	0.512448132780083
ENSG00000117143	9.322	1.188	0.812	1.1597510373444
ENSG00000119681	5.47	0.174	0.723	0.159751037344398
ENSG00000162576	4.309	0.239	0.267	0.726141078838174
ENSG00000154736	5.021	0.183	0.222	0.784232365145228
ENSG00000163710	3.977	0.117	0.201	0.20746887966805
ENSG00000135047	5.897	1.136	4.061	1.62448132780083
ENSG00000143387	6.204	0.211	0.7	0.20954356846473
ENSG00000115310	10.923	4.775	6.281	2.75933609958506
ENSG00000013588	5.051	0.394	0.369	0.45643153526971
ENSG00000101000	3.776	0.332	0.161	0.522821576763486
ENSG00000154175	2.799	0.159	0.172	0.109958506224066
ENSG00000205221	2.396	0.109	0.146	0.0497925311203319
ENSG00000108679	2.709	0.334	0.636	0.705394190871369
ENSG00000162493	2.471	0.099	0.13	0.0560165975103734
ENSG00000164530	4.692	0.104	0.215	0.0560165975103734
ENSG00000198755	28.172	16.115	12.192	16.5809128630705
ENSG00000174080	2.216	0.28	0.456	0.643153526970954
ENSG00000129009	2.147	0.116	0.134	0.29045643153527
