fibroblast	endothelial_cell	macrophage	myofibroblast_cell
ENSG00000164733	1.777	1.621	36.756	0.846473029045643
ENSG00000110077	0.135	0.129	16.275	0.0975103734439834
ENSG00000124491	0.359	0.282	31.833	0.230290456431535
ENSG00000260314	0.122	0.165	20.216	0.103734439834025
ENSG00000155659	0.174	0.185	19.486	0.128630705394191
ENSG00000133800	0.228	0.256	24.344	0.211618257261411
ENSG00000250722	8.041	2.416	48.491	1.82157676348548
ENSG00000204103	2.029	0.526	16.453	1.08921161825726
ENSG00000163131	0.312	0.582	17.946	0.139004149377593
ENSG00000169429	0.286	0.552	32.92	0.226141078838174
ENSG00000166927	0.088	0.098	12.257	0.0663900414937759
ENSG00000204472	0.142	0.128	11.813	0.105809128630705
ENSG00000170458	0.172	0.181	11.918	0.132780082987552
ENSG00000110079	0.139	0.146	13.031	0.12655601659751
ENSG00000010327	0.253	0.598	12.731	0.186721991701245
ENSG00000119655	2.763	2.876	19.965	0.813278008298755
ENSG00000135678	0.29	1.108	12.029	4.48755186721992
ENSG00000165457	0.139	0.164	11.317	0.118257261410788
ENSG00000100979	4.584	0.472	23.957	0.437759336099585
ENSG00000030582	2.508	2.607	14.332	0.910788381742739
ENSG00000137801	4.62	0.673	18.364	2.850622406639
ENSG00000197405	0.08	0.175	8.418	0.0829875518672199
ENSG00000143110	0.089	0.113	7.475	0.0954356846473029
ENSG00000178573	1.755	0.416	11.955	0.54356846473029
ENSG00000087086	127.169	29.88	338.836	21.5020746887967
ENSG00000125538	0.235	0.24	28.544	0.16804979253112
ENSG00000101160	1.703	1.242	14.159	1.31327800829876
ENSG00000197746	9.452	3.699	24.389	2.37759336099585
ENSG00000165168	0.041	0.027	5.785	0.037344398340249
ENSG00000162511	0.126	0.469	11.257	0.114107883817427
ENSG00000081041	1.736	4.39	14.272	0.475103734439834
ENSG00000117984	3.564	1.364	18.5	1.84647302904564
ENSG00000197629	0.045	0.049	5.155	0.0186721991701245
ENSG00000163734	0.23	0.953	11.347	0.12655601659751
ENSG00000153071	2.514	1.125	9.184	0.365145228215768
ENSG00000127951	0.187	1.583	5.804	0.116182572614108
ENSG00000143162	1.639	0.395	8.171	0.354771784232365
ENSG00000182578	0.058	0.056	4.781	0.0684647302904564
ENSG00000100600	1.033	0.453	10.431	0.49792531120332
ENSG00000090013	2.99	0.841	10.192	1.06639004149378
ENSG00000241399	1.523	0.403	5.799	0.425311203319502
ENSG00000113648	0.85	1.35	6.456	0.952282157676348
ENSG00000104763	1.372	0.689	7.436	1.17219917012448
ENSG00000145703	0.046	0.064	5.299	0.0311203319502075
ENSG00000120694	8.795	11.786	22.269	4.20124481327801
ENSG00000168214	2.65	0.971	9.905	0.966804979253112
ENSG00000130066	7.635	5.683	27.107	1.99170124481328
ENSG00000166340	0.759	0.674	5.019	0.269709543568465
ENSG00000105223	2.312	0.766	8.056	0.5
ENSG00000118640	0.132	0.248	5.414	0.128630705394191
ENSG00000120708	0.5	0.115	4.627	0.70746887966805
ENSG00000109861	1.01	0.798	8.931	0.925311203319502
ENSG00000153234	1.5	1.361	13.682	3.92738589211618
ENSG00000185215	2.42	1.012	5.855	0.356846473029046
ENSG00000113070	0.401	2.825	5.071	0.244813278008299
ENSG00000072694	0.063	0.064	4.804	0.0663900414937759
ENSG00000038945	0.044	0.03	3.511	0.0145228215767635
ENSG00000105609	0.047	0.04	4.03	0.0352697095435685
ENSG00000158270	0.586	0.091	4.587	0.0394190871369295
ENSG00000107798	0.57	0.826	4.919	0.199170124481328
ENSG00000131669	0.359	0.187	4.12	0.385892116182573
ENSG00000137491	0.049	0.068	3.898	0.0269709543568465
ENSG00000113269	0.885	0.741	5.14	0.475103734439834
ENSG00000155657	0.051	0.075	5.225	0.0663900414937759
ENSG00000143344	0.34	0.088	3.63	0.0892116182572614
ENSG00000164111	4.389	2.994	10.355	2.54771784232365
ENSG00000162704	1.787	1.566	7.315	2.04771784232365
ENSG00000171659	0.026	0.024	3.52	0.0352697095435685
ENSG00000100292	0.838	0.213	4.298	0.0622406639004149
ENSG00000169508	0.052	0.056	5.39	0.0580912863070539
ENSG00000114541	0.114	0.52	3.467	0.037344398340249
ENSG00000084234	5.558	3.606	10.662	2.39211618257261
ENSG00000185339	0.217	1.675	3.909	0.0995850622406639
ENSG00000245532	53.779	65.341	120.743	36.6763485477178
ENSG00000184060	0.03	0.052	3.055	0.369294605809129
ENSG00000163694	0.036	0.022	2.634	0.00829875518672199
ENSG00000138449	0.612	0.557	4.75	0.518672199170125
ENSG00000131724	0.559	0.614	3.145	0.215767634854772
ENSG00000066294	0.027	0.044	3.356	0.00829875518672199
ENSG00000143322	1.841	1.438	5.713	0.323651452282158
ENSG00000042753	1.928	1.176	5.433	0.827800829875519
ENSG00000143384	3.685	5.166	12.829	3.04149377593361
ENSG00000170873	0.81	0.252	3.155	0.390041493775934
ENSG00000138071	1.471	2.37	6.712	1.15560165975104
ENSG00000088827	0.052	0.055	3.079	0.0352697095435685
ENSG00000248323	0.077	0.211	4.345	0.0145228215767635
ENSG00000165092	1.645	0.185	4.922	0.363070539419087
ENSG00000090621	1.22	0.752	3.951	1.19709543568465
ENSG00000143549	1.631	4.605	7.025	0.649377593360996
ENSG00000102575	0.046	0.076	3.323	0.0394190871369295
ENSG00000160213	2.399	1.652	5.035	0.761410788381743
ENSG00000072274	0.355	0.38	4.041	0.400414937759336
ENSG00000019169	0.074	0.039	5.795	0.0352697095435685
ENSG00000090674	0.326	0.189	2.775	0.172199170124481
ENSG00000114353	2.497	6.713	8.454	2.41078838174274
ENSG00000169896	0.023	0.031	2.147	0.0186721991701245
ENSG00000108774	1.495	2.064	3.754	0.933609958506224
ENSG00000153208	0.071	0.133	2.705	0.217842323651452
ENSG00000010610	0.03	0.039	2.379	0.163900414937759
ENSG00000164125	0.623	0.814	2.729	0.0477178423236514
ENSG00000130830	0.099	0.155	2.424	0.0809128630705394
ENSG00000165025	0.014	0.013	2.161	0.0186721991701245
ENSG00000197535	0.253	0.283	2.4	0.0892116182572614
ENSG00000140403	1.127	1.136	4.784	0.549792531120332
ENSG00000115355	0.453	0.519	3.135	0.396265560165975
ENSG00000060982	0.825	0.052	2.352	0.029045643153527
ENSG00000176974	0.673	0.229	2.566	0.0518672199170125
ENSG00000205302	0.916	0.632	2.883	0.470954356846473
ENSG00000136295	0.143	0.184	2.316	0.0560165975103734
ENSG00000124299	0.872	0.576	4.121	0.419087136929461
ENSG00000079215	0.195	0.024	2.128	0.029045643153527
ENSG00000182287	0.33	1.134	2.398	0.232365145228216
ENSG00000135838	0.052	0.058	1.942	0.0394190871369295
ENSG00000145416	0.014	0.015	1.989	0.0145228215767635
ENSG00000280046	0.328	0.613	2.652	0.151452282157676
ENSG00000150540	0.994	0.106	2.464	0.636929460580913
ENSG00000183020	0.447	0.513	2.828	0.240663900414938
ENSG00000242574	0.033	0.58	2.1	0.037344398340249
ENSG00000163563	0.023	0.03	2.226	0.0684647302904564
ENSG00000059377	0.025	0.032	1.859	0.033195020746888
ENSG00000113552	0.358	0.151	2.197	0.0601659751037344
ENSG00000140575	1.887	2.77	6.791	1.9896265560166
ENSG00000119508	4.225	0.429	4.673	2.33609958506224
ENSG00000156052	0.706	2.422	2.653	0.556016597510373
ENSG00000100280	0.194	0.293	1.925	0.122406639004149
ENSG00000004399	0.504	1.129	2.603	0.547717842323652
ENSG00000136156	13.824	16.235	17.931	6.01244813278008
ENSG00000115919	0.014	0.032	1.921	0.00829875518672199
ENSG00000187474	0.013	0.017	1.802	0.00829875518672199
ENSG00000124882	0.039	0.1	10.578	0.0352697095435685
ENSG00000074181	0.142	0.174	0.087	7.13485477178423
ENSG00000205362	6.347	1.661	0.687	13.0435684647303
ENSG00000185551	1.242	2.523	0.128	6.54564315352697
ENSG00000169715	12.366	5.235	1.127	17.0850622406639
ENSG00000187513	0.053	0.595	0.043	4.25103734439834
ENSG00000185633	0.13	0.608	0.128	6.46265560165975
ENSG00000158859	2.078	4.258	0.382	6.83402489626556
ENSG00000108691	7.802	8.86	1.676	13.2053941908714
ENSG00000162772	16.207	6.568	8.857	12.6659751037344
ENSG00000181649	0.189	0.123	0.613	5.17842323651452
ENSG00000105655	0.083	0.154	0.089	2.74066390041494
ENSG00000151491	2.041	1.631	2.142	4.43153526970954
ENSG00000141232	1.005	1.259	1.331	4.41286307053942
ENSG00000173918	0.981	0.356	0.135	2.83609958506224
ENSG00000143333	1.179	1.246	0.374	3.60788381742739
ENSG00000166148	0.309	0.132	0.06	2.87344398340249
ENSG00000213160	0.045	0.065	0.025	2.28838174273859
ENSG00000260549	0.196	0.33	0.069	2.7448132780083
ENSG00000165959	0.08	0.105	0.154	2.19709543568465
ENSG00000167772	2.517	0.57	0.391	3.30082987551867
ENSG00000116132	1.899	0.167	0.127	2.39626556016598
ENSG00000167601	2.073	0.165	0.632	2.35684647302905
ENSG00000172201	0.832	0.286	0.068	3.26348547717842
ENSG00000165795	1.327	0.832	0.209	2.56639004149378
ENSG00000091436	1.512	0.488	0.825	3.20124481327801
ENSG00000157150	1.348	2.141	0.202	2.81535269709544
ENSG00000122035	0.389	0.162	0.119	1.80082987551867
ENSG00000151617	0.011	0.02	0.008	1.35477178423237
ENSG00000099998	1.329	1.018	0.162	2.10788381742739
ENSG00000071205	1.097	0.117	0.52	1.64107883817427
ENSG00000138031	0.723	0.119	0.087	1.51452282157676
ENSG00000186594	1.251	1.446	0.981	2.22614107883817
ENSG00000119630	0.112	0.151	0.08	1.50414937759336
ENSG00000109452	0.041	0.094	0.139	1.5
ENSG00000131127	0.285	0.213	0.234	2.54564315352697
ENSG00000003989	0.266	0.071	0.021	1.58713692946058
ENSG00000170412	0.033	0.062	0.219	1.51452282157676
