erythrocyte	classical_monocyte	neutrophil	memory_B_cell	plasma_cell	platelet
ENSG00000090382	0.636	84.825	8.86893704850361	0.811715481171548	5.99574468085106	2.12
ENSG00000038427	0.157	29.003	0.117647058823529	0.121338912133891	2.00425531914894	0.67
ENSG00000163563	0.135	17.354	11.4035087719298	0.815899581589958	1.4468085106383	0.49
ENSG00000137801	0.15	15.874	0.139318885448916	0.276150627615063	1.17021276595745	3.59
ENSG00000110077	0.06	8.307	0.510835913312694	0.0753138075313808	0.523404255319149	0.2
ENSG00000197956	0.672	51.277	18.5459236326109	3.75313807531381	16.5021276595745	4.9
ENSG00000100097	0.269	18.394	0.625386996904025	1.9163179916318	28.7659574468085	1.79
ENSG00000177575	0.057	8.996	0.653250773993808	0.0920502092050209	0.608510638297872	0.16
ENSG00000121316	0.067	7.525	1.86687306501548	0.117154811715481	0.753191489361702	0.23
ENSG00000196154	0.766	52.364	13.6728586171311	3.65271966527197	18.4851063829787	7.61
ENSG00000178695	0.049	5.716	0.157894736842105	0.0418410041841004	0.48936170212766	0.08
ENSG00000197747	0.507	17.035	0.159958720330237	1.88702928870293	13.0553191489362	0.92
ENSG00000030582	0.142	7.603	1.67905056759546	0.753138075313807	1.85957446808511	0.39
ENSG00000169385	0.053	5.261	0.475748194014448	0.0460251046025105	0.340425531914894	0.1
ENSG00000257764	0.071	5.062	0.78328173374613	0.221757322175732	0.642553191489362	0.27
ENSG00000121552	0.039	4.609	1.26522187822497	0.0376569037656904	0.357446808510638	0.11
ENSG00000170458	0.061	4.638	0.232198142414861	0.0376569037656904	0.468085106382979	0.13
ENSG00000245532	0.736	54.445	18.141382868937	9.71966527196653	37.3574468085106	2.59
ENSG00000117984	0.348	10.128	2.41382868937049	0.443514644351464	3.77446808510638	1.52
ENSG00000131981	1.433	4.694	1.21465428276574	0.100418410041841	2.83404255319149	0.36
ENSG00000111275	0.037	3.927	0.237358101135191	0.100418410041841	0.293617021276596	0.13
ENSG00000185862	0.071	8.018	2.76470588235294	3.14225941422594	4.56595744680851	0.19
ENSG00000164125	0.014	2.704	0.00928792569659443	0.0251046025104603	0.148936170212766	0.08
ENSG00000111144	0.046	5.763	1.19195046439628	0.761506276150628	2.13617021276596	0.09
ENSG00000188906	0.029	3.131	1.31785345717234	0.623430962343096	0.31063829787234	0.07
ENSG00000140749	0.014	2.852	0.915376676986584	0.0502092050209205	0.25531914893617	0.05
ENSG00000135218	0.086	2.53	0.0288957688338493	0.0543933054393305	0.178723404255319	1.82
ENSG00000188641	0.042	3.131	0.396284829721362	0.096234309623431	0.306382978723404	0.35
ENSG00000007237	0.027	2.491	0.468524251805986	0.112970711297071	0.297872340425532	0.01
ENSG00000249437	0.028	2.497	0.572755417956656	0.121338912133891	0.336170212765957	0.05
ENSG00000106066	0.014	2.474	0.0144478844169247	0.00418410041841004	0.131914893617021	0.05
ENSG00000125810	0.027	2.141	0.48297213622291	0.0334728033472803	0.140425531914894	0.07
ENSG00000035862	0.026	2.318	0.720330237358101	0.0920502092050209	1.12765957446809	0.06
ENSG00000169413	0.021	2.461	0.143446852425181	0.782426778242678	2.02553191489362	0.07
ENSG00000120594	0.016	2.174	0.178534571723426	0.0292887029288703	0.182978723404255	0.9
ENSG00000162704	0.171	10.149	5.68524251805986	2.51464435146443	10.8765957446809	7.76
ENSG00000180776	0.025	2.711	0.507739938080495	0.384937238493724	1.34468085106383	0.29
ENSG00000162511	0.312	11.611	2.88338493292054	8.67364016736402	8.48936170212766	3.8
ENSG00000135655	0.646	5.471	1.6594427244582	1.51464435146444	3.45957446808511	1.12
ENSG00000187164	0.009	1.763	0.0103199174406605	0.0209205020920502	0.148936170212766	0
ENSG00000123384	0.03	1.826	0.00619195046439629	0.0376569037656904	0.182978723404255	0.07
ENSG00000008394	0.01	1.935	0.0681114551083591	0.0209205020920502	0.148936170212766	0.12
ENSG00000166340	0.044	2.399	0.388028895768834	0.447698744769874	0.540425531914894	0.6
ENSG00000072401	0.022	2.187	0.690402476780186	0.326359832635983	0.714893617021277	0.04
ENSG00000126860	0.019	2.226	0.326109391124871	0.355648535564854	1.09787234042553	0.07
ENSG00000276107	0.004	1.749	0.00515995872033024	0.0376569037656904	0.0425531914893617	0.06
ENSG00000141505	0.008	1.488	0.0123839009287926	0.00418410041841004	0.11063829787234	0.02
ENSG00000087116	0.011	1.251	0.00722394220846233	0.0167364016736402	0.102127659574468	0.03
ENSG00000106546	0.012	1.756	0.0123839009287926	0.0753138075313808	0.212765957446809	0.37
ENSG00000114573	0.02	1.588	0.316821465428277	0.142259414225941	1.0468085106383	0.31
ENSG00000159128	0.033	1.865	0.411764705882353	0.694560669456067	1.43829787234043	0.1
ENSG00000244734	8729.588	595.946	136.110423116615	139.623430962343	705.76170212766	58.09
ENSG00000206172	1124.13	82.771	18.7141382868937	22.1799163179916	116.706382978723	10.99
ENSG00000188536	1497.349	120.768	30.8059855521156	38.8284518828452	194.587234042553	17.04
ENSG00000158578	25.098	1.801	0.342621259029928	0.485355648535565	2.25957446808511	0.15
ENSG00000147454	26.533	3.9	3.02270381836945	0.95397489539749	2.96170212765957	0.45
ENSG00000133742	29.067	1.392	0.243550051599587	0.280334728033473	1.54468085106383	0.16
ENSG00000013306	11.389	0.97	0.159958720330237	0.389121338912134	3.38297872340426	0.13
ENSG00000145335	10.632	0.919	0.144478844169247	0.154811715481172	0.846808510638298	5.91
ENSG00000169877	13.393	0.933	0.207430340557276	0.322175732217573	1.08085106382979	0.07
ENSG00000182512	12.978	1.342	0.230134158926729	0.472803347280335	6.36170212765957	0.74
ENSG00000104765	11.999	3.112	0.831785345717234	0.723849372384937	1.6936170212766	1.28
ENSG00000223609	16.286	1.382	0.244582043343653	0.347280334728033	1.65957446808511	1.58
ENSG00000137198	5.288	0.423	0.0701754385964912	0.0920502092050209	0.468085106382979	2.9
ENSG00000170315	40.89	5.632	1.25696594427245	3.96234309623431	23.8297872340426	3.39
ENSG00000124098	4.982	0.871	0.147574819401445	0.196652719665272	0.634042553191489	0.16
ENSG00000136732	12.495	1.212	0.34468524251806	1.418410041841	5.61276595744681	0.36
ENSG00000060138	11.18	2.944	0.188854489164087	1.15062761506276	2.99574468085106	3.89
ENSG00000172331	5.303	0.45	0.0825593395252838	0.175732217573222	0.842553191489362	0.03
ENSG00000206177	8.511	0.691	0.171310629514964	0.255230125523013	0.85531914893617	0.06
ENSG00000022840	5.835	1.175	0.673890608875129	0.631799163179916	3.03404255319149	1.07
ENSG00000119950	4.861	0.946	0.254901960784314	0.502092050209205	0.727659574468085	0.12
ENSG00000103342	8.115	1.367	0.13828689370485	0.778242677824268	9.35744680851064	0.73
ENSG00000159346	4.381	1.314	0.424148606811146	0.288702928870293	1.94893617021277	1.41
ENSG00000143774	12.048	2.875	0.7781217750258	1.40585774058577	11.7659574468085	1.68
ENSG00000105701	8.383	2.156	0.769865841073271	1.15481171548117	5.04255319148936	2.94
ENSG00000133606	5.906	1.793	0.478844169246646	0.606694560669456	1.85106382978723	1.3
ENSG00000143416	3.276	0.286	0.0309597523219814	0.0585774058577406	0.251063829787234	0.02
ENSG00000090013	7.542	5.59	0.230134158926729	0.355648535564854	1.42553191489362	0.48
ENSG00000162722	4.082	0.563	0.110423116615067	0.167364016736402	0.587234042553191	3.92
ENSG00000198876	3.355	0.688	0.115583075335397	0.0543933054393305	0.978723404255319	0.15
ENSG00000158856	2.526	0.276	0.0577915376676987	0.0878661087866109	0.276595744680851	2.4
ENSG00000100225	4.341	1.054	0.169246646026832	0.694560669456067	2.3531914893617	0.66
ENSG00000162366	2.51	0.168	0.0515995872033024	0.0627615062761506	0.182978723404255	0.41
ENSG00000082146	2.67	0.278	0.0412796697626419	0.188284518828452	0.476595744680851	0.17
ENSG00000063854	2.828	0.453	0.0928792569659443	0.188284518828452	1.03404255319149	0.16
ENSG00000171552	2.693	0.433	0.102167182662539	0.121338912133891	1.03829787234043	1.18
ENSG00000198858	3.362	0.935	0.856553147574819	0.682008368200837	1.52340425531915	2.26
ENSG00000132819	4.361	0.557	0.283797729618163	0.740585774058577	1.78723404255319	1.18
ENSG00000086506	2.299	0.207	0.0608875128998968	0.096234309623431	0.336170212765957	0.57
ENSG00000101782	6.634	3.127	1.75954592363261	1.17991631799163	4.2	4.11
ENSG00000159023	5.495	1.3	0.449948400412797	1.69874476987448	3.28936170212766	1.71
ENSG00000136819	6.801	1.676	0.418988648090815	1.44351464435146	4.32340425531915	0.54
ENSG00000034152	3.185	1.248	0.834881320949432	0.472803347280335	2.17446808510638	0.79
