cell_type	gene
neutrophil	ENSG00000148154
neutrophil	ENSG00000170571
neutrophil	ENSG00000133063
neutrophil	ENSG00000229314
neutrophil	ENSG00000115828
neutrophil	ENSG00000008516
neutrophil	ENSG00000158470
neutrophil	ENSG00000116679
neutrophil	ENSG00000112062
plasma_cell	ENSG00000211895
plasma_cell	ENSG00000132465
plasma_cell	ENSG00000170476
plasma_cell	ENSG00000211592
plasma_cell	ENSG00000166598
plasma_cell	ENSG00000166562
plasma_cell	ENSG00000166794
plasma_cell	ENSG00000044574
plasma_cell	ENSG00000128228
plasma_cell	ENSG00000113387
plasma_cell	ENSG00000134285
plasma_cell	ENSG00000179218
plasma_cell	ENSG00000143870
plasma_cell	ENSG00000211677
plasma_cell	ENSG00000155660
plasma_cell	ENSG00000114850
plasma_cell	ENSG00000074842
plasma_cell	ENSG00000048462
plasma_cell	ENSG00000145050
plasma_cell	ENSG00000074695
plasma_cell	ENSG00000099958
plasma_cell	ENSG00000118363
plasma_cell	ENSG00000125844
plasma_cell	ENSG00000100911
plasma_cell	ENSG00000198833
plasma_cell	ENSG00000100219
plasma_cell	ENSG00000185624
plasma_cell	ENSG00000110777
plasma_cell	ENSG00000057657
plasma_cell	ENSG00000211890
plasma_cell	ENSG00000106803
plasma_cell	ENSG00000116649
plasma_cell	ENSG00000211679
plasma_cell	ENSG00000129128
plasma_cell	ENSG00000132432
plasma_cell	ENSG00000118985
plasma_cell	ENSG00000172183
plasma_cell	ENSG00000131871
plasma_cell	ENSG00000147649
plasma_cell	ENSG00000049656
plasma_cell	ENSG00000184164
plasma_cell	ENSG00000180879
plasma_cell	ENSG00000154978
plasma_cell	ENSG00000105669
plasma_cell	ENSG00000135916
plasma_cell	ENSG00000117450
plasma_cell	ENSG00000148773
plasma_cell	ENSG00000058262
plasma_cell	ENSG00000118705
plasma_cell	ENSG00000139193
plasma_cell	ENSG00000115677
plasma_cell	ENSG00000110917
plasma_cell	ENSG00000184840
plasma_cell	ENSG00000136240
plasma_cell	ENSG00000165280
plasma_cell	ENSG00000143799
plasma_cell	ENSG00000101294
plasma_cell	ENSG00000198937
plasma_cell	ENSG00000165272
plasma_cell	ENSG00000197061
plasma_cell	ENSG00000198938
plasma_cell	ENSG00000127022
plasma_cell	ENSG00000149428
plasma_cell	ENSG00000145494
plasma_cell	ENSG00000068912
plasma_cell	ENSG00000154518
plasma_cell	ENSG00000134825
plasma_cell	ENSG00000118971
plasma_cell	ENSG00000153066
plasma_cell	ENSG00000226950
plasma_cell	ENSG00000090520
plasma_cell	ENSG00000198856
plasma_cell	ENSG00000240505
plasma_cell	ENSG00000106153
plasma_cell	ENSG00000163902
plasma_cell	ENSG00000123131
plasma_cell	ENSG00000239264
plasma_cell	ENSG00000180817
plasma_cell	ENSG00000136986
plasma_cell	ENSG00000189159
plasma_cell	ENSG00000163479
plasma_cell	ENSG00000067167
plasma_cell	ENSG00000114902
plasma_cell	ENSG00000182934
plasma_cell	ENSG00000169223
plasma_cell	ENSG00000102096
plasma_cell	ENSG00000113810
plasma_cell	ENSG00000198900
plasma_cell	ENSG00000101057
plasma_cell	ENSG00000089220
plasma_cell	ENSG00000108829
plasma_cell	ENSG00000168701
plasma_cell	ENSG00000172115
plasma_cell	ENSG00000211896
plasma_cell	ENSG00000137265
plasma_cell	ENSG00000109971
plasma_cell	ENSG00000124783
plasma_cell	ENSG00000175756
plasma_cell	ENSG00000187837
plasma_cell	ENSG00000026751
plasma_cell	ENSG00000111885
plasma_cell	ENSG00000160209
plasma_cell	ENSG00000076554
plasma_cell	ENSG00000142507
plasma_cell	ENSG00000115541
plasma_cell	ENSG00000198712
plasma_cell	ENSG00000144867
plasma_cell	ENSG00000164405
plasma_cell	ENSG00000163938
plasma_cell	ENSG00000213145
plasma_cell	ENSG00000170348
plasma_cell	ENSG00000222041
plasma_cell	ENSG00000099341
plasma_cell	ENSG00000163584
plasma_cell	ENSG00000114867
plasma_cell	ENSG00000100567
plasma_cell	ENSG00000100138
plasma_cell	ENSG00000225921
plasma_cell	ENSG00000132388
plasma_cell	ENSG00000158417
plasma_cell	ENSG00000244038
plasma_cell	ENSG00000172590
plasma_cell	ENSG00000179271
plasma_cell	ENSG00000071462
plasma_cell	ENSG00000102580
plasma_cell	ENSG00000143106
plasma_cell	ENSG00000173540
plasma_cell	ENSG00000132963
plasma_cell	ENSG00000262814
plasma_cell	ENSG00000115758
plasma_cell	ENSG00000091527
plasma_cell	ENSG00000154723
plasma_cell	ENSG00000179091
plasma_cell	ENSG00000008018
plasma_cell	ENSG00000143401
plasma_cell	ENSG00000080824
plasma_cell	ENSG00000105404
plasma_cell	ENSG00000126457
plasma_cell	ENSG00000167775
plasma_cell	ENSG00000095380
plasma_cell	ENSG00000168374
plasma_cell	ENSG00000086598
plasma_cell	ENSG00000165502
plasma_cell	ENSG00000129657
plasma_cell	ENSG00000171848
plasma_cell	ENSG00000197157
plasma_cell	ENSG00000171314
plasma_cell	ENSG00000129562
plasma_cell	ENSG00000140990
plasma_cell	ENSG00000169020
plasma_cell	ENSG00000277791
plasma_cell	ENSG00000090686
plasma_cell	ENSG00000197043
plasma_cell	ENSG00000063241
plasma_cell	ENSG00000177311
plasma_cell	ENSG00000117899
plasma_cell	ENSG00000184432
plasma_cell	ENSG00000164611
plasma_cell	ENSG00000198899
plasma_cell	ENSG00000101596
plasma_cell	ENSG00000125995
plasma_cell	ENSG00000109670
plasma_cell	ENSG00000004779
plasma_cell	ENSG00000106105
plasma_cell	ENSG00000124151
plasma_cell	ENSG00000198695
plasma_cell	ENSG00000099956
plasma_cell	ENSG00000129625
plasma_cell	ENSG00000150779
plasma_cell	ENSG00000105185
plasma_cell	ENSG00000100883
plasma_cell	ENSG00000184357
plasma_cell	ENSG00000145088
plasma_cell	ENSG00000108106
plasma_cell	ENSG00000141522
plasma_cell	ENSG00000177700
plasma_cell	ENSG00000214026
plasma_cell	ENSG00000121073
plasma_cell	ENSG00000186283
plasma_cell	ENSG00000198886
plasma_cell	ENSG00000248527
plasma_cell	ENSG00000112695
plasma_cell	ENSG00000099795
plasma_cell	ENSG00000196396
plasma_cell	ENSG00000254709
plasma_cell	ENSG00000100664
plasma_cell	ENSG00000120697
plasma_cell	ENSG00000187051
plasma_cell	ENSG00000128595
plasma_cell	ENSG00000089053
plasma_cell	ENSG00000136950
plasma_cell	ENSG00000126067
plasma_cell	ENSG00000107223
plasma_cell	ENSG00000139644
plasma_cell	ENSG00000204264
plasma_cell	ENSG00000157020
plasma_cell	ENSG00000123136
plasma_cell	ENSG00000126267
plasma_cell	ENSG00000129235
plasma_cell	ENSG00000171241
platelet	ENSG00000163736
platelet	ENSG00000163737
platelet	ENSG00000154146
platelet	ENSG00000127920
platelet	ENSG00000169704
platelet	ENSG00000101162
platelet	ENSG00000166091
platelet	ENSG00000168497
platelet	ENSG00000005249
platelet	ENSG00000150681
platelet	ENSG00000124491
platelet	ENSG00000233276
platelet	ENSG00000161911
platelet	ENSG00000167460
platelet	ENSG00000005961
platelet	ENSG00000128245
platelet	ENSG00000176783
platelet	ENSG00000148908
platelet	ENSG00000120885
platelet	ENSG00000140416
platelet	ENSG00000035403
platelet	ENSG00000111644
platelet	ENSG00000171611
platelet	ENSG00000088726
platelet	ENSG00000169756
platelet	ENSG00000101335
platelet	ENSG00000102265
platelet	ENSG00000137076
platelet	ENSG00000113140
platelet	ENSG00000107438
platelet	ENSG00000149781
platelet	ENSG00000158710
platelet	ENSG00000160014
platelet	ENSG00000162614
platelet	ENSG00000187699
platelet	ENSG00000099785
platelet	ENSG00000041353
platelet	ENSG00000180573
platelet	ENSG00000204420
platelet	ENSG00000146376
platelet	ENSG00000127824
platelet	ENSG00000180354
platelet	ENSG00000167468
platelet	ENSG00000259207
platelet	ENSG00000177119
platelet	ENSG00000105329
platelet	ENSG00000010278
platelet	ENSG00000148175
platelet	ENSG00000100351
platelet	ENSG00000160789
platelet	ENSG00000064601
platelet	ENSG00000072110
platelet	ENSG00000119862
platelet	ENSG00000104904
platelet	ENSG00000149564
platelet	ENSG00000108960
platelet	ENSG00000095303
platelet	ENSG00000228474
platelet	ENSG00000068796
platelet	ENSG00000142669
platelet	ENSG00000166681
platelet	ENSG00000101856
platelet	ENSG00000170271
platelet	ENSG00000177697
platelet	ENSG00000165682
platelet	ENSG00000158457
platelet	ENSG00000149357
platelet	ENSG00000117155
platelet	ENSG00000065534
platelet	ENSG00000148834
platelet	ENSG00000127314
platelet	ENSG00000166333
platelet	ENSG00000150637
platelet	ENSG00000254614
platelet	ENSG00000092531
platelet	ENSG00000104267
platelet	ENSG00000138735
platelet	ENSG00000185340
platelet	ENSG00000118508
platelet	ENSG00000122643
platelet	ENSG00000148484
platelet	ENSG00000109272
platelet	ENSG00000047648
platelet	ENSG00000132471
platelet	ENSG00000109572
platelet	ENSG00000196565
platelet	ENSG00000198478
platelet	ENSG00000138722
platelet	ENSG00000074416
platelet	ENSG00000085733
platelet	ENSG00000049323
platelet	ENSG00000071051
platelet	ENSG00000107863
platelet	ENSG00000153071
platelet	ENSG00000142046
platelet	ENSG00000270055
platelet	ENSG00000173083
platelet	ENSG00000135926
platelet	ENSG00000165233
platelet	ENSG00000088826
platelet	ENSG00000149218
platelet	ENSG00000071127
platelet	ENSG00000125952
platelet	ENSG00000100243
platelet	ENSG00000161013
platelet	ENSG00000103769
platelet	ENSG00000184500
platelet	ENSG00000108405
platelet	ENSG00000172159
platelet	ENSG00000256235
platelet	ENSG00000144677
platelet	ENSG00000112576
platelet	ENSG00000188191
platelet	ENSG00000124635
platelet	ENSG00000100345
platelet	ENSG00000103876
platelet	ENSG00000123739
platelet	ENSG00000108846
platelet	ENSG00000102393
platelet	ENSG00000101608
platelet	ENSG00000159176
platelet	ENSG00000153815
platelet	ENSG00000101082
platelet	ENSG00000205309
platelet	ENSG00000198168
platelet	ENSG00000162368
platelet	ENSG00000128294
platelet	ENSG00000143811
platelet	ENSG00000072042
platelet	ENSG00000146859
platelet	ENSG00000112977
platelet	ENSG00000162430
