Tissue,Mixture,MeanSpearman,MinSpearman,AllPass_0_8,MetaSortIterations
Blood,Mixture1,0.9538744954170492,0.7750464221567099,False,14
Blood,Mixture2,0.9693651442342578,0.8606673407625192,True,23
Blood,Mixture3,0.9372452816602653,0.7602684793116262,False,16
Blood,Mixture4,0.9386661812398084,0.7821078056975995,False,23
Blood,Mixture5,0.948982242332867,0.785369330068596,False,17
Blood,Mixture6,0.96680596563569,0.8833116653743454,True,19
Blood,Mixture7,0.9464124498389133,0.8036482379010338,True,14
Blood,Mixture8,0.9306040635049561,0.7859666543563087,False,30
Blood,Mixture9,0.929126863896326,0.6955459780571529,False,17
Blood,Mixture10,0.9292039442092358,0.6347756673826058,False,23
Blood,Mixture11,0.9481681736865175,0.7963537571929663,False,21
Blood,Mixture12,0.9345965729938954,0.7834708853084048,False,18
Blood,Mixture13,0.9458296998369788,0.7839529801306736,False,18
Blood,Mixture14,0.955428240802814,0.7836791864433237,False,14
Blood,Mixture15,0.9755637453422668,0.897913908835464,True,29
Blood,Mixture16,0.9260831316089128,0.675797210433145,False,28
Blood,Mixture17,0.9372657394738001,0.8143423770885948,True,30
Blood,Mixture18,0.9373814652202118,0.7497208996400393,False,20
Blood,Mixture19,0.9479254261552789,0.7822931713792094,False,23
Blood,Mixture20,0.9453928201332943,0.795115479310035,False,14
