Tissue,Mixture,CellType,Spearman
Blood,Mixture19,classical_monocyte,0.9579247967388185
Blood,Mixture19,neutrophil,0.9170457624819701
Blood,Mixture19,memory_B_cell,0.977784675139736
Blood,Mixture19,plasma_cell,0.9995831136807267
Blood,Mixture19,platelet,1.0
Blood,Mixture20,erythrocyte,0.7539291735398627
Blood,Mixture20,classical_monocyte,0.9498944879122759
Blood,Mixture20,neutrophil,0.8960548200911042
Blood,Mixture20,memory_B_cell,0.9607926364648475
Blood,Mixture20,plasma_cell,0.9989785901804561
Blood,Mixture20,platelet,0.9999226733594275
Blood,Mixture21,erythrocyte,0.8145778043910057
Blood,Mixture21,classical_monocyte,0.9769288425545857
Blood,Mixture21,neutrophil,0.8355190883957105
Blood,Mixture21,memory_B_cell,0.973826266920838
Blood,Mixture21,plasma_cell,0.99827114783339
Blood,Mixture21,platelet,1.0
Blood,Mixture22,erythrocyte,0.7657680301313012
Blood,Mixture22,classical_monocyte,0.9615236036030256
Blood,Mixture22,neutrophil,0.9302961859932553
Blood,Mixture22,memory_B_cell,0.9703337505528883
Blood,Mixture22,plasma_cell,0.9997869205196656
Blood,Mixture22,platelet,0.9977041196104703
Blood,Mixture23,erythrocyte,0.7384269150265922
Blood,Mixture23,classical_monocyte,0.9494998787695845
Blood,Mixture23,neutrophil,0.8275598727712348
Blood,Mixture23,memory_B_cell,0.9964625151692164
Blood,Mixture23,plasma_cell,0.9980881853443475
Blood,Mixture23,platelet,0.9985628477282243
Blood,Mixture24,erythrocyte,0.717415290263218
Blood,Mixture24,classical_monocyte,0.9792654901025656
Blood,Mixture24,neutrophil,0.8834698678081769
Blood,Mixture24,memory_B_cell,0.9913525628795765
Blood,Mixture24,plasma_cell,0.9999946739847394
Blood,Mixture24,platelet,0.9950922819058658
Blood,Mixture25,erythrocyte,1.0
Blood,Mixture25,classical_monocyte,0.9661027211011924
Blood,Mixture25,neutrophil,0.8153328242412963
Blood,Mixture25,memory_B_cell,0.9685331636116744
Blood,Mixture25,plasma_cell,0.9996901707042264
Blood,Mixture25,platelet,0.991471679752104
Blood,Mixture26,erythrocyte,0.7357711540723143
Blood,Mixture26,classical_monocyte,0.9584105052927416
Blood,Mixture26,neutrophil,0.706031327608955
Blood,Mixture26,memory_B_cell,0.9985927657939601
Blood,Mixture26,plasma_cell,0.996173607757556
Blood,Mixture26,platelet,0.9993864233479273
Blood,Mixture27,erythrocyte,0.7464630393424336
Blood,Mixture27,classical_monocyte,0.9703485894670227
Blood,Mixture27,neutrophil,0.8498963061486468
Blood,Mixture27,memory_B_cell,0.9848849682461008
Blood,Mixture27,plasma_cell,0.9993389209782343
Blood,Mixture27,platelet,1.0
Blood,Mixture28,erythrocyte,0.7461773659188305
Blood,Mixture28,classical_monocyte,0.9737903056679352
Blood,Mixture28,neutrophil,0.9369846090274142
Blood,Mixture28,memory_B_cell,0.9863096058136541
Blood,Mixture28,plasma_cell,1.0
Blood,Mixture28,platelet,0.9953719839850579
Blood,Mixture29,erythrocyte,0.9999634070209159
Blood,Mixture29,classical_monocyte,0.9723439087197231
Blood,Mixture29,neutrophil,0.7961094627069968
Blood,Mixture29,memory_B_cell,0.9102097366822807
Blood,Mixture29,plasma_cell,0.9968570261969779
Blood,Mixture29,platelet,0.9844571516999076
Blood,Mixture30,erythrocyte,0.7183198234571876
Blood,Mixture30,classical_monocyte,0.9596290936271965
Blood,Mixture30,neutrophil,0.8642220662075213
Blood,Mixture30,memory_B_cell,0.9403697631137694
Blood,Mixture30,plasma_cell,0.9993555887682207
Blood,Mixture30,platelet,0.9999212172056506
Blood,Mixture31,erythrocyte,0.7463155956372134
Blood,Mixture31,classical_monocyte,0.9300632547638247
Blood,Mixture31,neutrophil,0.9999644994469599
Blood,Mixture31,memory_B_cell,0.9839140954293678
Blood,Mixture31,plasma_cell,0.999448315324008
Blood,Mixture31,platelet,0.9964013048401115
Blood,Mixture32,erythrocyte,0.6916999863556385
Blood,Mixture32,classical_monocyte,0.9525309053097399
Blood,Mixture32,neutrophil,0.8132632455355777
Blood,Mixture32,memory_B_cell,0.9982647477107077
Blood,Mixture32,plasma_cell,0.9982094195685256
Blood,Mixture32,platelet,0.9999177113072217
Blood,Mixture33,erythrocyte,0.7720351109308524
Blood,Mixture33,classical_monocyte,0.9597660014372732
Blood,Mixture33,neutrophil,0.9369809681827056
Blood,Mixture33,memory_B_cell,0.9746117897878105
Blood,Mixture33,plasma_cell,0.9996691731205192
Blood,Mixture33,platelet,0.9968400013398137
Blood,Mixture34,erythrocyte,0.7695601214626765
Blood,Mixture34,classical_monocyte,0.9696984461923095
Blood,Mixture34,neutrophil,0.8447318139991743
Blood,Mixture34,memory_B_cell,0.9776189390262469
Blood,Mixture34,plasma_cell,0.998831875311816
Blood,Mixture34,platelet,1.0
Blood,Mixture35,erythrocyte,0.7838756651827943
Blood,Mixture35,classical_monocyte,0.9509640230292912
Blood,Mixture35,neutrophil,0.8540900510308487
Blood,Mixture35,memory_B_cell,0.9740938375003445
Blood,Mixture35,plasma_cell,0.9989738772191497
Blood,Mixture35,platelet,0.9992504605990097
Blood,Mixture36,erythrocyte,0.7563177355030385
Blood,Mixture36,classical_monocyte,0.9503739238695519
Blood,Mixture36,neutrophil,0.7949436658960779
Blood,Mixture36,memory_B_cell,0.9983876131322685
Blood,Mixture36,plasma_cell,0.9980080266471131
Blood,Mixture36,platelet,0.9952358373715402
Blood,Mixture37,erythrocyte,0.7101547872482818
Blood,Mixture37,classical_monocyte,0.9408310655965587
Blood,Mixture37,neutrophil,0.8644683440797322
Blood,Mixture37,memory_B_cell,0.9911199165912945
Blood,Mixture37,plasma_cell,0.998453152469915
Blood,Mixture37,platelet,0.9886504321520263
Blood,Mixture38,erythrocyte,0.8106875003726676
Blood,Mixture38,classical_monocyte,0.9743157931622463
Blood,Mixture38,neutrophil,0.9628308335065369
Blood,Mixture38,memory_B_cell,0.9589781246745249
