Tissue,Mixture,CellType,Spearman
Blood,Mixture92,classical_monocyte,0.9449325675454772
Blood,Mixture92,neutrophil,0.9214852824318739
Blood,Mixture92,memory_B_cell,0.984807525215358
Blood,Mixture92,plasma_cell,0.9993822955489579
Blood,Mixture92,platelet,0.9998984552229263
Blood,Mixture93,erythrocyte,0.6812519693174606
Blood,Mixture93,classical_monocyte,0.9613459501853735
Blood,Mixture93,neutrophil,0.88222718415278
Blood,Mixture93,memory_B_cell,0.9991587365928195
Blood,Mixture93,plasma_cell,0.9995833818980369
Blood,Mixture93,platelet,0.992301173652181
Blood,Mixture94,erythrocyte,0.7612136156028505
Blood,Mixture94,classical_monocyte,0.9609338458945472
Blood,Mixture94,neutrophil,0.862580891646744
Blood,Mixture94,memory_B_cell,0.9492168607144699
Blood,Mixture94,plasma_cell,0.9994587757991029
Blood,Mixture94,platelet,0.9983685184882316
Blood,Mixture95,erythrocyte,0.7087190767190952
Blood,Mixture95,classical_monocyte,0.9573795277353107
Blood,Mixture95,neutrophil,0.8322312039009432
Blood,Mixture95,memory_B_cell,0.9978931239467755
Blood,Mixture95,plasma_cell,0.9981694168725577
Blood,Mixture95,platelet,0.9999229994323634
Blood,Mixture96,erythrocyte,0.7402019435289712
Blood,Mixture96,classical_monocyte,0.9722800259644953
Blood,Mixture96,neutrophil,0.806941197971611
Blood,Mixture96,memory_B_cell,0.9978622016087134
Blood,Mixture96,plasma_cell,0.9980168395017576
Blood,Mixture96,platelet,0.9999252407884555
Blood,Mixture97,erythrocyte,0.7479677223700549
Blood,Mixture97,classical_monocyte,0.9575084424099237
Blood,Mixture97,neutrophil,0.8272649984304634
Blood,Mixture97,memory_B_cell,0.964263885540495
Blood,Mixture97,plasma_cell,0.998255974430212
Blood,Mixture97,platelet,0.9999227499991
Blood,Mixture98,erythrocyte,0.7490352239444725
Blood,Mixture98,classical_monocyte,0.9699707379474648
Blood,Mixture98,neutrophil,0.8591960946397237
Blood,Mixture98,memory_B_cell,0.9671005091262773
Blood,Mixture98,plasma_cell,0.9993485768013989
Blood,Mixture98,platelet,0.9999253174281277
Blood,Mixture99,erythrocyte,0.7756991491963463
Blood,Mixture99,classical_monocyte,0.9601442253955796
Blood,Mixture99,neutrophil,0.8637561114110981
Blood,Mixture99,memory_B_cell,0.940356461101204
Blood,Mixture99,plasma_cell,0.9992127055754396
Blood,Mixture99,platelet,0.9980488227466126
Blood,Mixture100,erythrocyte,0.7375618343500668
Blood,Mixture100,classical_monocyte,0.9472932878273062
Blood,Mixture100,neutrophil,0.908436970808504
Blood,Mixture100,memory_B_cell,0.9811015891008
Blood,Mixture100,plasma_cell,0.9992647397336044
Blood,Mixture100,platelet,0.9983248646474978
