Tissue,Mixture,L1_Error,Accuracy,Iterations,Pred_erythrocyte,Pred_classical_monocyte,Pred_neutrophil,Pred_memory_B_cell,Pred_plasma_cell,Pred_platelet,Truth_erythrocyte,Truth_classical_monocyte,Truth_neutrophil,Truth_memory_B_cell,Truth_plasma_cell,Truth_platelet
Blood,Mixture1,0.1103327249660368,0.9448336375169816,14,0.2525404612285821,0.5393364163248603,0.000907253158653,0.087835223878004,0.0994292228770029,0.0199514225328974,0.245252640767348,0.492365127461729,0.0,0.089473518198992,0.124192419741562,0.0487162938303689
Blood,Mixture2,0.1691194056274601,0.91544029718627,23,0.0,0.2418434489705498,0.5734842165404058,0.0808707169597447,0.0278228859563023,0.0759787315729972,0.0,0.259984382317296,0.4947176779976391,0.1163382596174,0.0587741127656309,0.0701855673020338
Blood,Mixture3,0.2970013361846594,0.8514993319076702,16,0.3553404346891169,0.0771684855905533,0.3600796359981804,0.1253681971089561,0.052226855053265,0.0298163915599282,0.3128163340177939,0.0,0.4497394241960948,0.0965601152785026,0.0879681405254041,0.0529159859822042
Blood,Mixture4,0.17705474880731,0.911472625596345,23,0.299224379140191,0.1746701143762249,0.3879872623455571,0.0829752781274507,0.0516312087415737,0.0035117572690024,0.266262465108426,0.136686672278573,0.440874980847129,0.0653932598532128,0.0701223519652425,0.0206602699474168
Blood,Mixture5,0.1381493047567514,0.9309253476216244,17,0.276759248199982,0.4157467112171737,0.158338413425245,0.0864389666729144,0.0422444137479709,0.0204722467367137,0.271514927304939,0.363712331933822,0.20360975325112,0.0746430144729335,0.0473779315879257,0.0391420414492598
Blood,Mixture6,0.0967957641609565,0.9516021179195218,19,0.135227089390757,0.2665757633649513,0.4954981844145715,0.0472782654751045,0.0,0.0554206973546154,0.1386626504707459,0.2228863931163258,0.5299647186325007,0.0577740522576647,0.0,0.0507121855227626
Blood,Mixture7,0.1682478789438323,0.9158760605280838,14,0.1733150322631511,0.4283579990531914,0.2198567388877187,0.1129448940908685,0.0598355776113584,0.0056897580937118,0.1667045486940389,0.3833290463147937,0.2702170507221768,0.0804603909264622,0.0708699417325916,0.0284190216099365
Blood,Mixture8,0.1779002844049619,0.911049857797519,30,0.1727062616690335,0.2468681549367655,0.4182982685244506,0.0741355198462382,0.0779448329995215,0.0100469620239904,0.1545783557941459,0.2013839624742969,0.3929602246593259,0.1102954862654209,0.0886039304174665,0.0521780403893436
Blood,Mixture9,0.2588292661044589,0.8705853669477706,17,0.4024743221463344,0.2413590202256059,0.2265588970900791,0.0125323296180685,0.0957660104716391,0.0213094204482727,0.3459121882368203,0.1810388507009591,0.2937236833970423,0.0,0.1303452847140981,0.04897999295108
Blood,Mixture10,0.3649729139830566,0.8175135430084717,23,0.4774776769719901,0.3461302254410874,0.0026706348670709,0.0435350814170384,0.1287245771430961,0.0014618041597169,0.3777696782123551,0.3047427260611561,0.0,0.16081114545435,0.090004253158205,0.0666721971139336
Blood,Mixture11,0.1674690016929083,0.9162654991535458,21,0.2908574710887489,0.1869848880634181,0.3529152432403175,0.1260715887301073,0.026811053903367,0.0163597549740411,0.2648786889385381,0.141115655845419,0.4086054010140441,0.114185102251863,0.03750610141069,0.0337090505394457
Blood,Mixture12,0.1815569415002912,0.9092215292498544,18,0.2066029390099423,0.2668912705913656,0.3960325759497564,0.0740528226283844,0.0557622110207321,0.000658180799819,0.1909693402494019,0.2254897261254259,0.4516002900970899,0.047776544066081,0.0482951620593698,0.0358689374026311
Blood,Mixture13,0.1890271622378528,0.9054864188810736,18,0.2587065778295876,0.3418039551757914,0.2441379827554891,0.1079888491831098,0.0464592441506504,0.0009033909053714,0.238094503856993,0.287451129019255,0.297008052033886,0.0884401681933145,0.0711502461513772,0.0178559007451743
Blood,Mixture14,0.0892712232919484,0.9553643883540258,14,0.2539204231953019,0.4978024255661426,0.0054597742105526,0.1424966950674037,0.0662023637235525,0.0341183182370467,0.2494514547161039,0.4630955566099189,0.0,0.1642040097697819,0.0781557875399617,0.0450931913642332
Blood,Mixture15,0.1030977793656435,0.9484511103171782,29,0.0,0.4139351653928369,0.4548758293611087,0.0636593056304172,0.053786921360831,0.0137427782548059,0.0,0.373006747959246,0.444255357111878,0.0771481849310467,0.0787824553717082,0.0268072546261212
Blood,Mixture16,0.3556873291418534,0.8221563354290733,28,0.4828434951935014,0.0935927660949598,0.2690533629240578,0.0375481818524148,0.0485834768708789,0.0683787170641871,0.3985925967175344,0.0,0.3073304897011446,0.1434182971924198,0.0723815658927346,0.0782770504961662
Blood,Mixture17,0.2669670894383912,0.8665164552808045,30,0.1141822437860988,0.2674331968105705,0.4999477987007353,0.0207161971511143,0.0578728846105496,0.0398476789409313,0.1081548963786291,0.1797502224549362,0.4601745757446436,0.1378379904468221,0.0593729260883521,0.0547093888866165
Blood,Mixture18,0.1827684773193558,0.908615761340322,20,0.3512065529337132,0.2331714253531957,0.2242489134992064,0.1315377323745495,0.0596200135636656,0.0002153622756693,0.3206503247136338,0.1855932294062359,0.2787517590088619,0.1182879178819109,0.0724887152442439,0.0242280537451135
Blood,Mixture19,0.1492376398122955,0.9253811800938522,23,0.2857960825189083,0.348421356577316,0.229141163102606,0.0944220272817569,0.0422193705194128,0.0,0.266271912148428,0.293809768363609,0.290139944623294,0.0939389659597966,0.0558394089048726,0.0
Blood,Mixture20,0.1452529083370813,0.9273735458314594,14,0.2007849781553427,0.3821176680041609,0.2057650788984113,0.1391321228318188,0.0717881431327122,0.0004120089775539,0.1936930302087189,0.3368277626299489,0.2476652491298879,0.1188875219841139,0.0816560866782268,0.0212703493691033
Blood,Mixture21,0.1110591089447158,0.944470445527642,18,0.1518998253536586,0.1993455025690674,0.4989819920106837,0.0995768552932121,0.0501958247733781,0.0,0.142378664711889,0.153337108738479,0.5057204534089041,0.125575573120889,0.0729882000198387,0.0
Blood,Mixture22,0.1639787983161416,0.9180106008419292,15,0.2491353856203406,0.3655262301154908,0.2094472921079343,0.1273536407292068,0.0294468886888557,0.0190905627381715,0.2482372872756107,0.3228594134671207,0.2746858902335647,0.088929156564236,0.0314105621107246,0.0338776903487429
